Number-of-splits,Total-length,Segment-length,RMSE,Max-Point-Error,Model-type,Tile-ID,Lane-Group-ID,Lane-ID,Lane-Sub-Segment-ID
4.0,2185.184993948455,547.960724433219,0.011446326575709691,0.02985103748505935,1.0,3.08804238E8,1.805877424E9,1.0,4.0
4.0,2185.222605022801,541.2176505291106,0.02994896765008855,0.09773386774702675,0.0,3.08804238E8,1.805877424E9,2.0,1.0
4.0,2185.222605022801,547.3741193084857,0.04223896308723171,0.09883800987154245,1.0,3.08804238E8,1.805877424E9,2.0,2.0
4.0,2185.222605022801,545.6914101285636,0.028512567207033306,0.0789181177970022,1.0,3.08804238E8,1.805877424E9,2.0,3.0
4.0,2185.222605022801,547.9604112878089,0.011444187700313052,0.029828273633029312,1.0,3.08804238E8,1.805877424E9,2.0,4.0
4.0,2185.2524978483652,541.2493301140619,0.028673868154633894,0.09648324479373677,0.0,3.08804238E8,1.805877424E9,3.0,1.0
4.0,2185.2524978483652,547.3727233180798,0.04224012172603154,0.09891457948833704,1.0,3.08804238E8,1.805877424E9,3.0,2.0
4.0,2185.2524978483652,545.7077458671072,0.02664352877100728,0.07613587033119984,1.0,3.08804238E8,1.805877424E9,3.0,3.0
4.0,2185.2524978483652,547.9436404788323,0.010971926807843186,0.02543669889564626,1.0,3.08804238E8,1.805877424E9,3.0,4.0
2.0,16.892125517079315,8.501381255101734,0.032080955387089785,0.06386288278152108,1.0,3.08804238E8,2.023195794E9,1.0,1.0
2.0,16.892125517079315,7.786130395247707,0.05224074608905833,0.09648913397754288,1.0,3.08804238E8,2.023195794E9,1.0,2.0
1.0,10.164970769634504,10.164970769634504,0.029820983101447585,0.05599435395206947,2.0,3.08804238E8,2.023195794E9,2.0,1.0
1.0,10.281896807980118,10.281896807980118,0.027167018668512684,0.05158143020700777,2.0,3.08804238E8,2.058197468E9,1.0,1.0
2.0,16.737436828513598,8.407757648101228,0.03191618022863679,0.0632971898723369,1.0,3.08804238E8,2.058197468E9,2.0,1.0
2.0,16.737436828513598,7.7240219319534615,0.04808875089628455,0.08985250849699344,1.0,3.08804238E8,2.058197468E9,2.0,2.0
1.0,547.5171358973253,547.5171358973253,0.0011499512801784746,0.003892357953808721,0.0,3.08804238E8,6.0875189309E10,2.0,1.0
1.0,547.5463568280786,547.5463568280786,9.073864546798128E-4,0.003071323929047932,0.0,3.08804238E8,6.0875189309E10,3.0,1.0
2.0,525.9200198162897,263.9702342574503,9.757897425227539E-15,2.316081237412558E-14,0.0,3.09137665E8,3.7420041223E10,2.0,1.0
2.0,525.9200198162897,260.9536714673019,0.027984113584198823,0.0774093133905188,2.0,3.09137665E8,3.7420041223E10,2.0,2.0
2.0,526.0767436673943,263.9687724574014,5.654527702495408E-15,2.3159546883977413E-14,0.0,3.09137665E8,3.7420041223E10,3.0,1.0
